Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$)
2020-07-24;12:35;27/07/2020;Câmbio Padrão : R$5977.29;1126.83;1126.83
2020-07-28;14:55;30/07/2020;Compra de 1 AAPL a $ 377;-377.0;749.83
2020-08-13;11:32;17/08/2020;Compra de 1 ATVI a $ 82.7;-82.7;667.13
2020-08-13;11:32;17/08/2020;Compra de 4 ATVI a $ 82.7;-330.8;336.33
2020-08-14;04:07;14/08/2020;Dividendos AAPL. AAPL dividend, $0.82/share;0.82;337.15
2020-08-14;04:08;14/08/2020;Retenção Impostos sobre Dividendos AAPL. AAPL tax, 30% withheld;-0.25;336.9
2020-08-20;10:38;24/08/2020;Compra de 1 UNH a $ 313.79;-313.79;23.11
2020-08-28;16:32;31/08/2020;Câmbio Padrão : R$11954.57;2166.55;2189.66
2020-09-03;13:43;08/09/2020;Compra de 1 NVDA a $ 523;-523.0;1666.66
2020-09-23;02:24;23/09/2020;Dividendos UNH. UNH dividend, $1.25/share;1.25;1667.91
2020-09-23;02:24;23/09/2020;Retenção Impostos sobre Dividendos UNH. UNH tax, 30% withheld;-0.38;1667.53
2020-11-13;07:45;13/11/2020;Dividendos AAPL. AAPL dividend, $0.205/share;0.82;1668.35
2020-11-13;07:49;13/11/2020;Retenção Impostos sobre Dividendos AAPL. AAPL tax, 30% withheld;-0.25;1668.1
2020-12-16;03:57;16/12/2020;Retenção Impostos sobre Dividendos UNH. UNH tax, 30% withheld;-0.38;1667.72
2020-12-16;03:57;16/12/2020;Dividendos UNH. UNH dividend, $1.25/share;1.25;1668.97
2020-12-30;04:15;30/12/2020;Dividendos NVDA. NVDA dividend, $0.16/share;0.16;1669.13
2020-12-30;04:16;30/12/2020;Retenção Impostos sobre Dividendos NVDA. NVDA tax, 30% withheld;-0.05;1669.08
2021-02-12;02:52;12/02/2021;Dividendos AAPL. AAPL dividend, $0.205/share;0.82;1669.9
2021-02-12;02:56;12/02/2021;Retenção Impostos sobre Dividendos AAPL. AAPL tax, 30% withheld;-0.25;1669.65
2021-03-19;11:01;23/03/2021;Compra de 10 NCLH a $ 28.59;-285.9;1383.75
2021-03-24;01:22;24/03/2021;Dividendos UNH. UNH dividend, $1.25/share;1.25;1385.0
2021-03-24;01:22;24/03/2021;Retenção Impostos sobre Dividendos UNH. UNH tax, 30% withheld;-0.38;1384.62
2021-04-01;01:22;01/04/2021;Dividendos NVDA. NVDA dividend, $0.16/share;0.16;1384.78
2021-04-01;01:23;01/04/2021;Retenção Impostos sobre Dividendos NVDA. NVDA tax, 30% withheld;-0.05;1384.73
2021-05-07;01:42;07/05/2021;Dividendos ATVI. ATVI dividend, $0.47/share;2.35;1387.08
2021-05-07;01:42;07/05/2021;Retenção Impostos sobre Dividendos ATVI. ATVI tax, 30% withheld;-0.71;1386.37
2021-05-11;06:19;11/05/2021;Dividendos . ACCOUNT CONVERSION CASH;1386.37;2772.74
2021-05-11;07:18;11/05/2021;Retenção Impostos sobre Dividendos . ACCOUNT CONVERSION CASH;-2772.74;
2021-05-11;11:19;11/05/2021;Estorno Impostos sobre Dividendos;2772.74;2772.74
2021-05-11;12:00;11/05/2021;US Estorno Dividendos;-1386.37;1386.37
2021-05-14;04:10;14/05/2021;Dividendos AAPL. APPLE INC;0.88;1387.25
2021-05-14;04:10;14/05/2021;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.26;1386.99
2021-06-03;11:28;07/06/2021;Compra de 5 DIS a $ 175.83;-879.15;507.84
2021-06-30;04:08;30/06/2021;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.44;507.4
2021-06-30;04:08;30/06/2021;Dividendos UNH. UNITEDHEALTH GROUP INC;1.45;508.85
2021-07-02;05:28;02/07/2021;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;508.8
2021-07-02;05:28;02/07/2021;Dividendos NVDA. NVIDIA CORP;0.16;508.96
2021-08-13;03:04;13/08/2021;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.26;508.7
