Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$)
24/07/2020;12:35;27/07/2020;Câmbio Padrão : R$5977.29;1126.83;1126.83
28/07/2020;14:55;30/07/2020;Compra de 1 AAPL a $ 377;-377.00;749.83
13/08/2020;11:32;17/08/2020;Compra de 1 ATVI a $ 82.7;-82.70;667.13
13/08/2020;11:32;17/08/2020;Compra de 4 ATVI a $ 82.7;-330.80;336.33
14/08/2020;04:07;14/08/2020;Dividendos AAPL. AAPL dividend, $0.82/share;0.82;337.15
14/08/2020;04:08;14/08/2020;Retenção Impostos sobre Dividendos AAPL. AAPL tax, 30% withheld;-0.25;336.90
20/08/2020;10:38;24/08/2020;Compra de 1 UNH a $ 313.79;-313.79;23.11
28/08/2020;16:32;31/08/2020;Câmbio Padrão : R$11954.57;2166.55;2189.66
03/09/2020;13:43;08/09/2020;Compra de 1 NVDA a $ 523;-523.00;1666.66
23/09/2020;02:24;23/09/2020;Dividendos UNH. UNH dividend, $1.25/share;1.25;1667.91
23/09/2020;02:24;23/09/2020;Retenção Impostos sobre Dividendos UNH. UNH tax, 30% withheld;-0.38;1667.53
13/11/2020;07:45;13/11/2020;Dividendos AAPL. AAPL dividend, $0.205/share;0.82;1668.35
13/11/2020;07:49;13/11/2020;Retenção Impostos sobre Dividendos AAPL. AAPL tax, 30% withheld;-0.25;1668.10
16/12/2020;03:57;16/12/2020;Retenção Impostos sobre Dividendos UNH. UNH tax, 30% withheld;-0.38;1667.72
16/12/2020;03:57;16/12/2020;Dividendos UNH. UNH dividend, $1.25/share;1.25;1668.97
30/12/2020;04:15;30/12/2020;Dividendos NVDA. NVDA dividend, $0.16/share;0.16;1669.13
30/12/2020;04:16;30/12/2020;Retenção Impostos sobre Dividendos NVDA. NVDA tax, 30% withheld;-0.05;1669.08
