Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$)
11/02/2022;03:46;11/02/2022;Dividendos AAPL. APPLE INC;0.88;513.32
11/02/2022;03:46;11/02/2022;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.26;513.06
23/03/2022;03:45;23/03/2022;Dividendos UNH. UNITEDHEALTH GROUP INC;1.45;514.51
23/03/2022;03:45;23/03/2022;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.44;514.07
25/03/2022;03:49;25/03/2022;Dividendos NVDA. NVIDIA CORP;0.16;514.23
25/03/2022;03:49;25/03/2022;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;514.18
07/05/2022;03:33;09/05/2022;Dividendos ATVI. ACTIVISION BLIZZARD INC;2.35;516.53
07/05/2022;03:33;09/05/2022;Retenção Impostos sobre Dividendos ATVI. ACTIVISION BLIZZARD INC;-0.71;515.82
13/05/2022;03:15;13/05/2022;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.28;515.54
13/05/2022;03:15;13/05/2022;Dividendos AAPL. APPLE INC;0.92;516.46
29/06/2022;03:23;29/06/2022;Dividendos UNH. UNITEDHEALTH GROUP INC;1.65;518.11
29/06/2022;03:23;29/06/2022;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.50;517.61
02/07/2022;03:31;05/07/2022;Dividendos NVDA. NVIDIA CORP;0.16;517.77
02/07/2022;03:33;05/07/2022;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;517.72
08/07/2022;12:00;12/07/2022;Venda de 2 AAPL a $ 146.94;293.88;811.60
08/07/2022;12:00;12/07/2022;Corretagem AAPL;-1.50;810.10
08/07/2022;12:01;12/07/2022;Corretagem NVDA;-1.50;808.60
08/07/2022;12:01;12/07/2022;Venda de 2 NVDA a $ 158.09;316.18;1124.78
08/07/2022;12:02;12/07/2022;Corretagem UNH;-1.50;1123.28
08/07/2022;12:02;12/07/2022;Venda de 1 UNH a $ 525.89;525.89;1649.17
08/07/2022;12:03;12/07/2022;Corretagem DIS;-1.50;1647.67
08/07/2022;12:03;12/07/2022;Venda de 3 DIS a $ 96.77;290.30;1937.97
08/07/2022;12:03;12/07/2022;Venda de 3 ATVI a $ 78.49;235.47;2173.44
08/07/2022;12:03;12/07/2022;Corretagem ATVI;-1.50;2171.94
08/07/2022;12:04;12/07/2022;Venda de 5 NCLH a $ 11.85;59.25;2231.19
08/07/2022;12:04;12/07/2022;Corretagem NCLH;-1.00;2230.19
18/07/2022;09:22;18/07/2022;Transferência para conta Bancária;-1344.60;885.59
12/08/2022;03:11;12/08/2022;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.14;885.45
12/08/2022;03:11;12/08/2022;Dividendos AAPL. APPLE INC;0.46;885.91
30/09/2022;04:18;30/09/2022;Dividendos NVDA. NVIDIA CORP;0.08;885.99
30/09/2022;04:18;30/09/2022;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.02;885.97
02/11/2022;17:54;02/11/2022;Taxa de Inatividade;-0.50;885.47
02/11/2022;17:58;02/11/2022;Taxa de Inatividade;-0.50;884.97
03/11/2022;11:00;03/11/2022;Estorno Taxa de Inatividade;0.50;885.47
05/11/2022;03:49;07/11/2022;Taxa Transferência (DTC);-0.50;884.97
07/11/2022;10:18;07/11/2022;Estorno Transferência Taxa (DTC);0.50;885.47
11/11/2022;09:43;14/11/2022;Dividendos AAPL. APPLE INC;0.46;885.93
11/11/2022;09:43;14/11/2022;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.14;885.79
06/12/2022;06:55;06/12/2022;Taxa de Inatividade;-0.50;885.29
