Indice;Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$);Indice;Indice.1
0;24/07/2020;12:35;27/07/2020;Câmbio Padrão : R$5977.29;1126.83;1126.83;;
1;28/07/2020;14:55;30/07/2020;Compra de 1 AAPL a $ 377;-377.0;749.83;;
2;13/08/2020;11:32;17/08/2020;Compra de 1 ATVI a $ 82.7;-82.7;667.13;;
3;13/08/2020;11:32;17/08/2020;Compra de 4 ATVI a $ 82.7;-330.8;336.33;;
4;14/08/2020;04:07;14/08/2020;Dividendos AAPL. AAPL dividend, $0.82/share;0.82;337.15;;
5;14/08/2020;04:08;14/08/2020;Retenção Impostos sobre Dividendos AAPL. AAPL tax, 30% withheld;-0.25;336.9;;
6;20/08/2020;10:38;24/08/2020;Compra de 1 UNH a $ 313.79;-313.79;23.11;;
7;28/08/2020;16:32;31/08/2020;Câmbio Padrão : R$11954.57;2166.55;2189.66;;
8;03/09/2020;13:43;08/09/2020;Compra de 1 NVDA a $ 523;-523.0;1666.66;;
9;23/09/2020;02:24;23/09/2020;Dividendos UNH. UNH dividend, $1.25/share;1.25;1667.91;;
10;23/09/2020;02:24;23/09/2020;Retenção Impostos sobre Dividendos UNH. UNH tax, 30% withheld;-0.38;1667.53;;
11;13/11/2020;07:45;13/11/2020;Dividendos AAPL. AAPL dividend, $0.205/share;0.82;1668.35;;
12;13/11/2020;07:49;13/11/2020;Retenção Impostos sobre Dividendos AAPL. AAPL tax, 30% withheld;-0.25;1668.1;;
13;16/12/2020;03:57;16/12/2020;Retenção Impostos sobre Dividendos UNH. UNH tax, 30% withheld;-0.38;1667.72;;
14;16/12/2020;03:57;16/12/2020;Dividendos UNH. UNH dividend, $1.25/share;1.25;1668.97;;
15;30/12/2020;04:15;30/12/2020;Dividendos NVDA. NVDA dividend, $0.16/share;0.16;1669.13;;
16;30/12/2020;04:16;30/12/2020;Retenção Impostos sobre Dividendos NVDA. NVDA tax, 30% withheld;-0.05;1669.08;;
17;11/02/2022;03:46;11/02/2022;Dividendos AAPL. APPLE INC;0.88;513.32;0.0;
18;11/02/2022;03:46;11/02/2022;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.26;513.06;1.0;
19;23/03/2022;03:45;23/03/2022;Dividendos UNH. UNITEDHEALTH GROUP INC;1.45;514.51;2.0;
20;23/03/2022;03:45;23/03/2022;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.44;514.07;3.0;
21;25/03/2022;03:49;25/03/2022;Dividendos NVDA. NVIDIA CORP;0.16;514.23;4.0;
22;25/03/2022;03:49;25/03/2022;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;514.18;5.0;
23;07/05/2022;03:33;09/05/2022;Dividendos ATVI. ACTIVISION BLIZZARD INC;2.35;516.53;6.0;
24;07/05/2022;03:33;09/05/2022;Retenção Impostos sobre Dividendos ATVI. ACTIVISION BLIZZARD INC;-0.71;515.82;7.0;
25;13/05/2022;03:15;13/05/2022;Retenção Impostos sobre Dividendos AAPL. APPLE INC;-0.28;515.54;8.0;
26;13/05/2022;03:15;13/05/2022;Dividendos AAPL. APPLE INC;0.92;516.46;9.0;
27;29/06/2022;03:23;29/06/2022;Dividendos UNH. UNITEDHEALTH GROUP INC;1.65;518.11;10.0;
28;29/06/2022;03:23;29/06/2022;Retenção Impostos sobre Dividendos UNH. UNITEDHEALTH GROUP INC;-0.5;517.61;11.0;
29;02/07/2022;03:31;05/07/2022;Dividendos NVDA. NVIDIA CORP;0.16;517.77;12.0;
30;02/07/2022;03:33;05/07/2022;Retenção Impostos sobre Dividendos NVDA. NVIDIA CORP;-0.05;517.72;13.0;
31;08/07/2022;12:00;12/07/2022;Venda de 2 AAPL a $ 146.94;293.88;811.6;14.0;
32;08/07/2022;12:00;12/07/2022;Corretagem AAPL;-1.5;810.1;15.0;
33;08/07/2022;12:01;12/07/2022;Corretagem NVDA;-1.5;808.6;16.0;
